Cut,PD,Cand_RapCM,Cand_AbsRap,Cand_Pt,NTrack,ModelCandMass_JPsiToMuMuOS_PA8Y16,f_JPsiToMuMuOS_PA8Y16,Sigma1_JPsiToMuMuOS_PA8Y16,rSigma21_JPsiToMuMuOS_PA8Y16,AlphaR_JPsiToMuMuOS_PA8Y16,nR_JPsiToMuMuOS_PA8Y16,Alpha_JPsiToMuMuOS_PA8Y16,n_JPsiToMuMuOS_PA8Y16,N_BkgToMuMuOS_PA8Y16,N_JPsiToMuMuOS_PA8Y16,m_JPsiToMuMuOS_PA8Y16,Lambda1_BkgToMuMuOS_PA8Y16,Lambda2_BkgToMuMuOS_PA8Y16,Lambda3_BkgToMuMuOS_PA8Y16,Lambda4_BkgToMuMuOS_PA8Y16
PromptDecay,MINBIAS,NONE,1.4-2.4,0.0-1.5,15.0-250.0,SingleExtCrystalBall[JPsi;Psi2S]+Chebychev4[Bkg],[0.6;-1.0;2.0],[0.04504],[1.5;0.9;6.0],[1.39655],[8;0.5;50],[1.3;0.8;3],[1.9;0.5;3.5],[405082;0;845488],[16921.1;0;845488],[3.08879],[-0.90764],[0.15499],[0.01307],[-0.00879]
PromptDecay,MINBIAS,NONE,1.4-2.4,1.5-3.0,15.0-250.0,SingleExtCrystalBall[JPsi;Psi2S]+Chebychev4[Bkg],[0.6;-1.0;2.0],[0.04829],[1.5;0.9;6.0],[1.51827],[8;0.5;50],[1.3;0.8;3],[1.9;0.5;3.5],[377553;0;812382],[28052.3;0;812382],[3.08901],[-0.74455],[0.15641],[-0.07217],[0.03632]
PromptDecay,DIMUON,NONE,1.4-2.4,3.0-4.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev3[Bkg],[0.32360],[0.03650],[1.50601],[2.24256],[11;1.5;50],[1.5;0.8;3],[2.1336],[366016;0;992406],[126869;0;992406],[3.08831],[-0.25763],[0.03559],[-0.01009],
PromptDecay,DIMUON,NONE,1.4-2.4,4.0-5.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev3[Bkg],[0.42079],[0.03947],[1.30789],[1.83266],[11;1.5;50],[1.5;0.8;3],[1.9557],[267187;0;846394],[153003;0;846394],[3.08847],[-0.40994],[0.05744],[-0.01130],
PromptDecay,DIMUON,NONE,1.4-2.4,5.0-6.5,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.51231],[0.04094],[1.20766],[1.59050],[11;0.5;50],[1.5;0.8;3],[1.9;0.5;3.5],[216575;0;875062],[216380;0;875062],[3.08841],[-0.39209],[0.04194],,
PromptDecay,DIMUON,NONE,1.4-2.4,6.5-8.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.51266],[0.03986],[1.22382],[1.54730],[11;0.5;50],[1.5;0.8;3],[1.9;0.5;3.5],[80509.4;0;457220],[144309;0;457220],[3.08888],[-0.27822],[0.02023],,
PromptDecay,DIMUON,NONE,1.4-2.4,8.0-10.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev1[Bkg],[0.47981],[0.03854],[1.26235],[1.54519],[11;0.5;50],[1.5;0.8;3],[1.9;0.5;3.5],[35490.3;0;274764],[98900.3;0;274764],[3.08922],[-0.23521],,,
PromptDecay,DIMUON,NONE,1.4-2.4,10.0-12.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev1[Bkg],[0.51584],[0.03827],[1.28172],[1.47558],[11;0.5;50],[1.5;0.8;3],[1.9;0.5;3.5],[11570.1;0;113830],[43871.1;0;113830],[3.08985],[-0.18522],,,
PromptDecay,DIMUON,NONE,1.4-2.4,12.0-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev3[Bkg],[0.54310],[0.03950],[1.22727],[1.30010],[11;0.5;50],[1.5;0.8;3],[1.9;0.5;3.5],[10293.7;0;106766],[41514.8;0;106766],[3.08938],[-0.25162],[0.05294],[-0.10402],
PromptDecay,DIMUON,NONE,1.4-2.4,3.0-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev3[Bkg],[0.47647],[0.03951],[1.28405],[1.59661],[11;1.5;50],[1.5;0.8;3],[2.0204],[986758;0;3.66644e+06],[825770;0;3.66644e+06],[3.08872],[-0.32858],[0.04114],[-0.00996],
PromptDecay,DIMUON,NONE,0.0-1.4,6.5-8.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev1[Bkg],[0.49207],[0.02265],[1.60397],[2.16234],[7;0.5;50],[1.5;0.8;3],[1.8;0.5;3.5],[37489.3;0;235512],[77839.2;0;235512],[3.09231],[0.31467],,,
PromptDecay,DIMUON,NONE,0.0-1.4,8.0-10.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.57662],[0.02113],[1.57723],[1.70929],[7;0.5;50],[1.5;0.8;3],[1.8;0.5;3.5],[25210.9;0;256544],[99718.6;0;256544],[3.09287],[0.07105],[0.04326],,
PromptDecay,DIMUON,NONE,0.0-1.4,10.0-12.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev1[Bkg],[0.60597],[0.02089],[1.55619],[1.68005],[7;0.5;50],[1.5;0.8;3],[1.8;0.5;3.5],[10444.3;0;139426],[57252.1;0;139426],[3.09344],[-0.09511],,,
PromptDecay,DIMUON,NONE,0.0-1.4,12.0-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev1[Bkg],[0.62749],[0.02094],[1.55243],[1.62265],[7;0.5;50],[1.5;0.8;3],[1.8;0.5;3.5],[11927.3;0;164736],[67581.1;0;164736],[3.09320],[-0.22765],,,
PromptDecay,DIMUON,-2.86_-2.4,NONE,6.5-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.35908],[0.04322],[1.32731],[1.50065],[11;0.5;50],[1.5;0.8;3],[1.9;0.5;3.5],[18077.3;0;137796],[49310.9;0;137796],[3.08903],[-0.44570],[0.12817],,
PromptDecay,DIMUON,-2.4_-1.93,NONE,6.5-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev1[Bkg],[0.48402],[0.03844],[1.16658],[1.62656],[11;0.5;50],[1.5;0.8;3],[1.9;0.5;3.5],[43009.5;0;279888],[94190.5;0;279888],[3.08932],[-0.21633],,,
PromptDecay,DIMUON,-1.93_-1.6,NONE,6.5-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev1[Bkg],[0.33973],[0.03060],[1.23504],[1.52242],[7;0.5;50],[1.3;0.8;3],[1.9;0.5;3.5],[22451.2;0;159434],[55436.2;0;159434],[3.09135],[0.21763],,,
PromptDecay,DIMUON,-1.6_-1.2,NONE,6.5-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev1[Bkg],[0.37888],[0.02609],[1.19546],[1.63353],[7;0.5;50],[1.3;0.8;3],[1.9;0.5;3.5],[12436.6;0;121460],[46682.3;0;121460],[3.09276],[0.18593],,,
PromptDecay,DIMUON,-1.2_-0.8,NONE,6.5-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Uniform[Bkg],[0.35247],[0.01803],[1.25615],[1.57701],[9;0.5;50],[1.2;0.8;3],[1.7;0.5;3.5],[6721.99;0;82626],[33416.5;0;82626],[3.09346],,,,
PromptDecay,DIMUON,-0.8_-0.4,NONE,6.5-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.36916],[0.01491],[1.26520],[1.78387],[9;0.5;50],[1.2;0.8;3],[1.7;0.5;3.5],[6100.01;0;73684],[29666;0;73684],[3.09362],[-0.03631],[0.06946],,
PromptDecay,DIMUON,-0.4_-0.0,NONE,6.5-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev1[Bkg],[0.31174],[0.01488],[1.32013],[1.42335],[9;0.5;50],[1.1;0.8;3],[1.7;0.5;3.5],[6136.67;0;75988],[30691.5;0;75988],[3.09357],[-0.06364],,,
PromptDecay,DIMUON,0.0_0.4,NONE,6.5-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Uniform[Bkg],[0.48214],[0.02097],[1.25595],[1.76298],[9;0.5;50],[1.5;0.8;3],[1.7;0.5;3.5],[8210.73;0;95572],[38157.5;0;95572],[3.09342],,,,
PromptDecay,DIMUON,0.4_0.8,NONE,6.5-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev1[Bkg],[0.33106],[0.02767],[1.24141],[1.67105],[9;0.5;50],[1.2;0.8;3],[2;0.5;3.5],[17515.6;0;151258],[56195.1;0;151258],[3.09232],[0.18410],,,
PromptDecay,DIMUON,0.8_1.2,NONE,6.5-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.30738],[0.03634],[1.08463],[1.55654],[9;0.5;50],[1.2;0.8;3],[2;0.5;3.5],[35239.4;0;239532],[81911.6;0;239532],[3.09045],[0.01071],[-0.03768],,
PromptDecay,DIMUON,1.2_1.6,NONE,6.5-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.44973],[0.03964],[1.20256],[1.53477],[11;0.5;50],[1.5;0.8;3],[1.9;0.5;3.5],[35571.2;0;244282],[83940.8;0;244282],[3.08897],[-0.36378],[0.04267],,
PromptDecay,DIMUON,1.6_1.93,NONE,6.5-50.0,15.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.41621],[0.04791],[1.27704],[1.46153],[11;0.5;50],[1.5;0.8;3],[1.9;0.5;3.5],[11233.5;0;87256],[31425.2;0;87256],[3.08857],[-0.40835],[0.07295],,